session people time duration ID_full ID noHp flow id_flow id_flow_full
1.FA1 Jeanne 1543.808 5.78500000000008 1.FA1.09 9 2 1 9_2_1 1.FA1.09_2_1
1.FA1 Jeanne 1560.086 5.80099999999993 1.FA1.04 4 1 3 4_1_3 1.FA1.04_1_3
1.FA1 Jeanne 1565.888 1.08699999999999 1.FA1.04 4 1 1 4_1_1 1.FA1.04_1_1
1.FA1 Jeanne 1566.976 1.8130000000001 1.FA1.04 4 1 2 4_1_2 1.FA1.04_1_2
1.FA1 Jeanne 1574.592 5.05500000000006 1.FA1.07 7 2 1 7_2_1 1.FA1.07_2_1
1.FA1 Jeanne 1579.648 5.43900000000008 1.FA1.07 7 2 NR 7_2_NR 1.FA1.07_2_NR
1.FA1 Jeanne 1586.902 5.07600000000002 1.FA1.02 2 4 1 2_4_1 1.FA1.02_4_1
1.FA1 Jeanne 1591.979 3.62599999999998 1.FA1.02 2 2 3 2_2_3 1.FA1.02_2_3
1.FA1 Jeanne 1597.056 4.11699999999996 1.FA1.01 1 3 3 1_3_3 1.FA1.01_3_3
1.FA1 Jeanne 1601.174 2.17499999999995 1.FA1.01 1 3 NR 1_3_NR 1.FA1.01_3_NR
1.FA1 Jeanne 1608.064 3.62599999999998 1.FA1.10 10 3 1 10_3_1 1.FA1.10_3_1
1.FA1 Jeanne 1633.451 7.23099999999999 1.FA1.09 9 1 3 9_1_3 1.FA1.09_1_3
1.FA1 Jeanne 1640.683 2.90000000000009 1.FA1.09 9 1 5 9_1_5 1.FA1.09_1_5
1.FA1 Jeanne 1645.035 10.8789999999999 1.FA1.05 5 1 2 5_1_2 1.FA1.05_1_2
1.FA1 Jeanne 1666.432 3.36999999999989 1.FA1.01 1 1 2 1_1_2 1.FA1.01_1_2
1.FA1 Jeanne 1669.803 2.53800000000001 1.FA1.01 1 1 NR 1_1_NR 1.FA1.01_1_NR
1.FA1 Jeanne 1672.342 2.17500000000018 1.FA1.01 1 1 1 1_1_1 1.FA1.01_1_1
1.FA1 Jeanne 1681.771 3.62599999999998 1.FA1.03 3 1 4 3_1_4 1.FA1.03_1_4
1.FA1 Jeanne 1685.398 3.625 1.FA1.03 3 2 1 3_2_1 1.FA1.03_2_1
1.FA1 Jeanne 1705.707 3.98800000000006 1.FA1.05 5 2 1 5_2_1 1.FA1.05_2_1
